,date,tip count,precipitation (mm)
187,2023-10-02 09:00:00,1,0.2
43,2023-10-02 11:00:00,8,1.6
89,2023-10-02 12:00:00,5,1.0
44,2023-10-02 13:00:00,8,1.6
35,2023-10-02 14:00:00,10,2.0
40,2023-10-02 15:00:00,9,1.8
46,2023-10-02 16:00:00,8,1.6
76,2023-10-02 17:00:00,5,1.0
93,2023-10-02 18:00:00,4,0.8
149,2023-10-02 19:00:00,2,0.4
182,2023-10-02 23:00:00,1,0.2
177,2023-10-03 08:00:00,1,0.2
143,2023-10-09 05:00:00,2,0.4
30,2023-10-09 06:00:00,11,2.2
73,2023-10-09 07:00:00,6,1.2000000000000002
7,2023-10-09 08:00:00,20,4.0
4,2023-10-09 09:00:00,21,4.2
5,2023-10-09 10:00:00,21,4.2
80,2023-10-09 11:00:00,5,1.0
81,2023-10-09 12:00:00,5,1.0
41,2023-10-09 13:00:00,8,1.6
37,2023-10-09 14:00:00,9,1.8
33,2023-10-09 15:00:00,10,2.0
100,2023-10-09 21:00:00,4,0.8
157,2023-10-09 22:00:00,2,0.4
103,2023-10-09 23:00:00,4,0.8
113,2023-10-10 00:00:00,3,0.6000000000000001
170,2023-10-10 01:00:00,2,0.4
169,2023-10-10 03:00:00,2,0.4
79,2023-10-10 04:00:00,5,1.0
138,2023-10-10 05:00:00,3,0.6000000000000001
109,2023-10-10 06:00:00,4,0.8
21,2023-10-10 07:00:00,13,2.6
20,2023-10-10 08:00:00,13,2.6
105,2023-10-10 09:00:00,4,0.8
47,2023-10-10 10:00:00,8,1.6
180,2023-10-10 11:00:00,1,0.2
179,2023-10-10 14:00:00,1,0.2
14,2023-10-10 15:00:00,17,3.4000000000000004
90,2023-10-10 16:00:00,5,1.0
24,2023-10-10 17:00:00,12,2.4000000000000004
88,2023-10-10 18:00:00,5,1.0
65,2023-10-10 19:00:00,6,1.2000000000000002
97,2023-10-10 20:00:00,4,0.8
152,2023-10-10 21:00:00,2,0.4
87,2023-10-10 22:00:00,5,1.0
77,2023-10-11 01:00:00,5,1.0
82,2023-10-11 02:00:00,5,1.0
185,2023-10-11 03:00:00,1,0.2
178,2023-10-11 05:00:00,1,0.2
181,2023-10-11 07:00:00,1,0.2
74,2023-10-13 18:00:00,5,1.0
53,2023-10-13 19:00:00,8,1.6
39,2023-10-13 20:00:00,9,1.8
52,2023-10-13 21:00:00,8,1.6
167,2023-10-13 22:00:00,2,0.4
184,2023-10-13 23:00:00,1,0.2
99,2023-10-14 00:00:00,4,0.8
175,2023-10-14 02:00:00,1,0.2
183,2023-10-14 06:00:00,1,0.2
102,2023-10-14 07:00:00,4,0.8
176,2023-10-14 11:00:00,1,0.2
174,2023-10-14 12:00:00,1,0.2
173,2023-10-14 13:00:00,1,0.2
48,2023-10-14 14:00:00,8,1.6
