Wolf Creek Weater Station,"48°45'23.2""N 124°22'21.4""W",,Elevation: 495m,,,,,,
07/24/23 3:15:13 PM,149,,1,,,,,,
07/24/23 3:15:29 PM,150,,1,,,,,,
07/24/23 3:16:34 PM,151,,1,,,,,,
07/24/23 3:16:35 PM,152,,1,,,,,,
07/24/23 3:17:51 PM,153,,1,,,,,,
07/24/23 3:19:35 PM,154,,1,,,,,,
07/24/23 3:20:54 PM,155,,1,,,,,,
07/24/23 3:21:58 PM,156,,1,,,,,,
07/24/23 3:21:59 PM,157,,1,,,,,,
07/24/23 3:22:49 PM,158,,1,,,,,,
07/24/23 3:24:41 PM,159,,1,,,,,,
07/24/23 3:25:51 PM,160,,1,,,,,,
07/24/23 3:27:05 PM,161,,1,,,,,,
07/24/23 3:27:06 PM,162,,1,,,,,,
07/24/23 3:27:51 PM,163,,1,,,,,,
07/24/23 3:29:07 PM,164,,1,,,,,,
07/24/23 3:30:02 PM,165,,1,,,,,,
07/24/23 3:32:58 PM,166,,1,,,,,,
07/24/23 3:38:41 PM,167,,1,,,,,,
07/24/23 3:39:00 PM,168,,1,,,,,,
07/24/23 3:39:01 PM,169,,1,,,,,,
07/24/23 3:39:20 PM,170,,1,,,,,,
07/24/23 3:39:49 PM,171,,1,,,,,,
07/24/23 3:39:50 PM,172,,1,,,,,,
07/24/23 3:40:14 PM,173,,1,,,,,,
07/24/23 3:41:03 PM,174,,1,,,,,,
07/24/23 3:42:39 PM,175,,1,,,,,,
07/24/23 3:48:16 PM,176,,1,,,,,,
07/24/23 3:52:15 PM,177,,1,,,,,,
07/24/23 3:57:08 PM,178,,1,,,,,,
07/24/23 4:01:22 PM,179,,1,,,,,,
07/24/23 4:15:25 PM,180,,1,,,,,,
07/24/23 5:02:22 PM,181,,1,,,,,,
07/24/23 10:03:41 PM,182,,1,,,,,,
07/24/23 10:35:04 PM,183,,1,,,,,,
07/24/23 11:51:09 PM,184,,1,,,,,,
07/25/23 12:31:54 AM,185,End of 24 hr period,1,,,,,,
07/25/23 1:32:14 AM,186,NEW 24 hr period,1,57,11.4,,,,
07/25/23 1:37:14 AM,187,,1,,,,,,
07/25/23 2:12:26 AM,188,,1,,,,,,
07/25/23 2:12:27 AM,189,,1,,,,,,
07/25/23 2:29:40 AM,190,,1,,,,,,
07/25/23 2:36:21 AM,191,,1,,,,,,
07/25/23 2:37:53 AM,192,,1,,,,,,
07/25/23 2:40:38 AM,193,,1,,,,,,
07/25/23 2:43:15 AM,194,,1,,,,,,
07/25/23 2:46:36 AM,195,,1,,,,,,
07/25/23 2:48:38 AM,196,,1,,,,,,
07/25/23 2:52:27 AM,197,,1,,,,,,
07/25/23 2:52:28 AM,198,,1,,,,,,
07/25/23 2:54:32 AM,199,,1,,,,,,
07/25/23 3:00:44 AM,200,,1,,,,,,
07/25/23 3:12:56 AM,201,,1,,,,,,
07/25/23 3:37:36 AM,202,,1,,,,,,
07/25/23 3:37:37 AM,203,,1,,,,,,
07/25/23 3:44:51 AM,204,,1,,,,,,
07/25/23 3:57:43 AM,205,,1,,,,,,
07/25/23 4:00:29 AM,206,,1,,,,,,
07/25/23 4:45:10 AM,207,,1,,,,,,
07/25/23 4:48:06 AM,208,,1,,,,,,
07/25/23 4:50:59 AM,209,,1,,,,,,
07/25/23 4:55:51 AM,210,,1,,,,,,
07/25/23 5:18:44 AM,211,,1,,,,,,
07/25/23 5:26:56 AM,212,,1,,,,,,
07/25/23 5:29:56 AM,213,,1,,,,,,
07/25/23 5:32:26 AM,214,,1,,,,,,
07/25/23 5:40:01 AM,215,,1,,,,,,
07/25/23 5:40:02 AM,216,,1,,,,,,
07/25/23 6:03:39 AM,217,,1,,,,,,
07/25/23 6:21:25 AM,218,,1,,,,,,
07/25/23 6:28:02 AM,219,,1,,,,,,
07/25/23 6:44:00 AM,220,,1,,,,,,
07/25/23 6:48:11 AM,221,,1,,,,,,
07/25/23 6:54:16 AM,222,,1,,,,,,
07/25/23 6:59:45 AM,223,,1,,,,,,
07/25/23 7:05:38 AM,224,,1,,,,,,
07/25/23 7:07:35 AM,225,,1,,,,,,
07/25/23 7:10:08 AM,226,,1,,,,,,
07/25/23 7:11:53 AM,227,,1,,,,,,
07/25/23 7:14:13 AM,228,,1,,,,,,
07/25/23 7:16:51 AM,229,,1,,,,,,
07/25/23 7:20:18 AM,230,,1,,,,,,
07/25/23 7:29:49 AM,231,,1,,,,,,
07/25/23 8:06:45 AM,232,,1,,,,,,
07/25/23 8:21:19 AM,233,,1,,,,,,
07/25/23 8:34:07 AM,234,,1,,,,,,
07/25/23 8:47:21 AM,235,,1,,,,,,
07/25/23 8:51:17 AM,236,,1,,,,,,
07/25/23 8:53:10 AM,237,,1,,,,,,
07/25/23 10:58:08 AM,238,,1,,,,,,
07/25/23 11:02:29 AM,239,,1,,,,,,
07/25/23 11:05:38 AM,240,,1,,,,,,
07/25/23 11:07:30 AM,241,,1,,,,,,
07/25/23 12:53:51 PM,242,End of 24 hr period,1,,,,,,
08/08/23 6:51:22 PM,243,NEW 24 hr period,1,65,13,13mm,17.5 hrs,"17 hours, 27 minutes and 26 seconds",0.74mm/hr
08/08/23 7:03:45 PM,244,,1,,,,,,
08/08/23 7:16:31 PM,245,,1,,,,,,
08/08/23 7:37:14 PM,246,,1,,,,,,
08/08/23 7:49:13 PM,247,,1,,,,,,
08/08/23 8:24:17 PM,248,,1,,,,,,
08/08/23 8:37:46 PM,249,,1,,,,,,
08/08/23 8:58:40 PM,250,,1,,,,,,
08/08/23 9:08:08 PM,251,,1,,,,,,
08/08/23 9:28:41 PM,252,,1,,,,,,
08/08/23 9:38:15 PM,253,,1,,,,,,
08/08/23 9:47:37 PM,254,,1,,,,,,
08/08/23 9:51:46 PM,255,,1,,,,,,
08/08/23 9:59:24 PM,256,,1,,,,,,
08/08/23 10:08:55 PM,257,,1,,,,,,
08/08/23 10:24:28 PM,258,,1,,,,,,
08/08/23 10:38:24 PM,259,,1,,,,,,
08/08/23 10:59:23 PM,260,,1,,,,,,
08/08/23 11:20:55 PM,261,,1,,,,,,
08/08/23 11:28:14 PM,262,,1,,,,,,
08/08/23 11:34:24 PM,263,,1,,,,,,
08/08/23 11:57:11 PM,264,,1,,,,,,
08/09/23 12:17:15 AM,265,,1,,,,,,
08/09/23 12:31:43 AM,266,,1,,,,,,
08/09/23 12:46:46 AM,267,,1,,,,,,
08/09/23 1:02:19 AM,268,,1,,,,,,
08/09/23 1:05:50 AM,269,,1,,,,,,
08/09/23 1:11:34 AM,270,,1,,,,,,
08/09/23 1:15:41 AM,271,,1,,,,,,
08/09/23 1:20:15 AM,272,,1,,,,,,
08/09/23 1:22:50 AM,273,,1,,,,,,
08/09/23 1:31:09 AM,274,,1,,,,,,
08/09/23 1:47:04 AM,275,,1,,,,,,
08/09/23 2:11:23 AM,276,,1,,,,,,
08/09/23 2:20:35 AM,277,,1,,,,,,
08/09/23 2:24:33 AM,278,,1,,,,,,
08/09/23 2:33:36 AM,279,,1,,,,,,
08/09/23 2:41:13 AM,280,,1,,,,,,
08/09/23 2:45:32 AM,281,,1,,,,,,
08/09/23 2:50:50 AM,282,,1,,,,,,
08/09/23 2:53:59 AM,283,,1,,,,,,
08/09/23 2:59:34 AM,284,,1,,,,,,
08/09/23 3:02:30 AM,285,,1,,,,,,
08/09/23 3:05:33 AM,286,,1,,,,,,
08/09/23 3:07:30 AM,287,,1,,,,,,
08/09/23 3:09:41 AM,288,,1,,,,,,
08/09/23 3:11:35 AM,289,,1,,,,,,
08/09/23 3:14:42 AM,290,,1,,,,,,
08/09/23 3:17:59 AM,291,,1,,,,,,
08/09/23 3:21:38 AM,292,,1,,,,,,
08/09/23 3:24:48 AM,293,,1,,,,,,
08/09/23 3:29:41 AM,294,,1,,,,,,
08/09/23 3:33:52 AM,295,,1,,,,,,
08/09/23 3:43:32 AM,296,,1,,,,,,
08/09/23 3:47:33 AM,297,,1,,,,,,
08/09/23 3:57:21 AM,298,,1,,,,,,
08/09/23 4:06:29 AM,299,,1,,,,,,
08/09/23 6:17:43 AM,300,,1,,,,,,
08/09/23 7:32:56 AM,301,,1,,,,,,
08/09/23 9:58:43 AM,302,,1,,,,,,
08/09/23 10:24:20 AM,303,,1,,,,,,
08/09/23 10:28:34 AM,304,,1,,,,,,
08/09/23 10:31:13 AM,305,,1,,,,,,
08/09/23 12:13:01 PM,306,,1,,,,,,
08/09/23 12:18:48 PM,307,End of 24 hr period,1,,,,,,
08/25/23 3:41:01 PM,308,NEW 24 hr period,1,5,1,1mm,3 hrs,TRACE PRECIP,0.3mm/hr
08/25/23 3:46:56 PM,309,,1,,,,,,
08/25/23 3:57:37 PM,310,,1,,,,,,
08/25/23 4:55:10 PM,311,,1,,,,,,
08/26/23 6:35:40 AM,312,End of 24 hr period,1,,,,,,
08/28/23 1:48:24 PM,313,NEW 24 hr period,1,3,0.6,0.6mm,2 hrs,TRACE PRECIP,0.3mm/hr
08/28/23 2:52:01 PM,314,,1,,,,,,
08/28/23 2:52:39 PM,315,End of 24 hr period,1,,,,,,
08/30/23 7:47:44 PM,316,NEW 24 hr period,1,27,5.4,5.4mm,11 hrs,"10 hours, 49 minutes and 16 seconds",0.5mm/hr
08/30/23 8:17:26 PM,317,,1,,,,,,
08/30/23 8:40:07 PM,318,,1,,,,,,
08/30/23 8:52:03 PM,319,,1,,,,,,
08/30/23 9:08:54 PM,320,,1,,,,,,
08/30/23 9:26:26 PM,321,,1,,,,,,
08/30/23 9:49:09 PM,322,,1,,,,,,
08/30/23 10:06:25 PM,323,,1,,,,,,
08/30/23 10:28:09 PM,324,,1,,,,,,
08/30/23 10:36:46 PM,325,,1,,,,,,
08/30/23 10:49:25 PM,326,,1,,,,,,
08/30/23 11:13:55 PM,327,,1,,,,,,
08/30/23 11:57:54 PM,328,,1,,,,,,
08/31/23 12:12:04 AM,329,,1,,,,,,
08/31/23 2:30:11 AM,330,,1,,,,,,
08/31/23 2:55:26 AM,331,,1,,,,,,
08/31/23 3:04:38 AM,332,,1,,,,,,
08/31/23 3:32:00 AM,333,,1,,,,,,
08/31/23 3:51:27 AM,334,,1,,,,,,
08/31/23 4:22:33 AM,335,,1,,,,,,
08/31/23 4:43:41 AM,336,,1,,,,,,
08/31/23 5:02:18 AM,337,,1,,,,,,
08/31/23 5:24:58 AM,338,,1,,,,,,
08/31/23 5:41:05 AM,339,,1,,,,,,
08/31/23 6:06:08 AM,340,,1,,,,,,
08/31/23 6:17:21 AM,341,,1,,,,,,
08/31/23 6:37:02 AM,342,End of 24 hr period,1,,,,,,
09/01/23 11:09:03 AM,343,End/ NEW 24 hr period,1,1,0.2,0.2mm,<1hr,TRACE PRECIP,
09/03/23 12:29:56 PM,344,NEW 24 hr period,1,4,0.8,0.8mm,<1hr,TRACE PRECIP,
09/03/23 12:31:24 PM,345,,1,,,,,,
09/03/23 12:39:35 PM,346,,1,,,,,,
09/03/23 1:07:51 PM,347,End of 24 hr period,1,,,,,,
09/06/23 4:30:09 AM,348,NEW 24 hr period,1,2,0.4,0.4mm,1hr,TRACE PRECIP,
09/06/23 5:33:21 AM,349,End of 24 hr period,1,,,,,,
09/10/23 6:42:08 PM,350,NEW 24 hr period,1,14,2.8,2.8mm,20 hrs,"20 hours, 5 minutes and 30 seconds",0.14mm/hr
09/10/23 7:11:30 PM,351,,1,,,,,,
09/10/23 7:30:46 PM,352,,1,,,,,,
09/10/23 7:51:07 PM,353,,1,,,,,,
09/10/23 8:06:01 PM,354,,1,,,,,,
09/10/23 8:22:15 PM,355,,1,,,,,,
09/10/23 8:31:32 PM,356,,1,,,,,,
09/10/23 9:12:43 PM,357,,1,,,,,,
09/10/23 10:47:19 PM,358,,1,,,,,,
09/10/23 10:55:54 PM,359,,1,,,,,,
09/10/23 11:22:08 PM,360,,1,,,,,,
09/11/23 12:14:07 AM,361,,1,,,,,,
09/11/23 1:33:36 AM,362,,1,,,,,,
09/11/23 2:47:38 AM,363,End of 24 hr period,1,,,,,,
09/12/23 5:47:55 AM,364,NEW 24 hr period,1,24,4.8,4.8mm,12 hrs,"12 hours, 9 minutes and 13 seconds",0.4mm/hr
09/12/23 6:19:36 AM,365,,1,,,,,,
09/12/23 6:43:07 AM,366,,1,,,,,,
09/12/23 7:59:04 AM,367,,1,,,,,,
09/12/23 8:29:17 AM,368,,1,,,,,,
09/12/23 8:45:42 AM,369,,1,,,,,,
09/12/23 9:08:38 AM,370,,1,,,,,,
09/12/23 9:22:13 AM,371,,1,,,,,,
09/12/23 9:34:23 AM,372,,1,,,,,,
09/12/23 9:50:31 AM,373,,1,,,,,,
09/12/23 10:04:59 AM,374,,1,,,,,,
09/12/23 10:11:24 AM,375,,1,,,,,,
09/12/23 10:30:08 AM,376,,1,,,,,,
09/12/23 10:57:02 AM,377,,1,,,,,,
09/12/23 11:54:46 AM,378,,1,,,,,,
09/12/23 1:04:57 PM,379,,1,,,,,,
09/12/23 1:18:15 PM,380,,1,,,,,,
09/12/23 2:02:40 PM,381,,1,,,,,,
09/12/23 2:35:22 PM,382,,1,,,,,,
09/12/23 4:00:27 PM,383,,1,,,,,,
09/12/23 4:46:41 PM,384,,1,,,,,,
09/12/23 5:07:22 PM,385,,1,,,,,,
09/12/23 5:16:37 PM,386,,1,,,,,,
09/12/23 5:57:08 PM,387,End of 24 hr period,1,,,,,,
09/13/23 7:49:51 AM,388,End/ NEW 24 hr per,1,1,,0.2mm,<1hr,TRACE PRECIP,
09/17/23 3:16:08 PM,389,NEW 24 hr period,1,44,8.8,8.8mm,24 hrs," 23 hours, 46 minutes and 53 seconds",0.4mm/hr
09/17/23 3:59:48 PM,390,,1,,,,,,
09/17/23 4:10:39 PM,391,,1,,,,,,
09/17/23 4:24:07 PM,392,,1,,,,,,
09/17/23 4:31:21 PM,393,,1,,,,,,
09/17/23 4:45:21 PM,394,,1,,,,,,
09/17/23 5:00:01 PM,395,,1,,,,,,
09/17/23 5:09:22 PM,396,,1,,,,,,
09/17/23 5:40:44 PM,397,,1,,,,,,
09/17/23 6:42:10 PM,398,,1,,,,,,
09/17/23 6:45:50 PM,399,,1,,,,,,
09/17/23 6:51:27 PM,400,,1,,,,,,
09/17/23 6:57:04 PM,401,,1,,,,,,
09/17/23 7:09:14 PM,402,,1,,,,,,
09/17/23 7:21:33 PM,403,,1,,,,,,
09/17/23 7:25:29 PM,404,,1,,,,,,
09/17/23 7:27:52 PM,405,,1,,,,,,
09/17/23 7:31:02 PM,406,,1,,,,,,
09/17/23 7:37:52 PM,407,,1,,,,,,
09/17/23 7:51:19 PM,408,,1,,,,,,
09/17/23 8:00:39 PM,409,,1,,,,,,
09/17/23 8:18:08 PM,410,,1,,,,,,
09/17/23 8:32:07 PM,411,,1,,,,,,
09/17/23 8:49:04 PM,412,,1,,,,,,
09/17/23 9:00:22 PM,413,,1,,,,,,
09/17/23 9:05:34 PM,414,,1,,,,,,
09/17/23 9:14:29 PM,415,,1,,,,,,
09/17/23 9:31:43 PM,416,,1,,,,,,
09/17/23 9:37:09 PM,417,,1,,,,,,
09/17/23 9:43:15 PM,418,,1,,,,,,
09/17/23 9:48:38 PM,419,,1,,,,,,
09/17/23 9:56:04 PM,420,,1,,,,,,
09/17/23 10:03:23 PM,421,,1,,,,,,
09/17/23 10:15:39 PM,422,,1,,,,,,
09/17/23 10:21:11 PM,423,,1,,,,,,
09/17/23 10:24:42 PM,424,,1,,,,,,
09/17/23 10:29:02 PM,425,,1,,,,,,
09/17/23 10:33:05 PM,426,,1,,,,,,
09/17/23 10:38:03 PM,427,,1,,,,,,
09/17/23 10:54:57 PM,428,,1,,,,,,
09/17/23 11:04:45 PM,429,,1,,,,,,
09/17/23 11:14:26 PM,430,,1,,,,,,
09/18/23 1:00:04 AM,431,,1,,,,,,
09/18/23 3:03:01 PM,432,End of 24 hr period,1,,,,,,
09/19/23 2:10:25 PM,433,NEW 24 hr period,1,17,3.4,3.4mm,19 hrs,"18 hours, 58 minutes and 48 seconds",0.17mm/hr
09/19/23 2:23:05 PM,434,,1,,,,,,
09/19/23 2:28:08 PM,435,,1,,,,,,
09/19/23 2:36:23 PM,436,,1,,,,,,
09/19/23 2:47:51 PM,437,,1,,,,,,
09/19/23 2:59:13 PM,438,,1,,,,,,
09/19/23 3:10:14 PM,439,,1,,,,,,
09/19/23 3:23:57 PM,440,,1,,,,,,
09/19/23 3:48:59 PM,441,,1,,,,,,
09/19/23 3:54:17 PM,442,,1,,,,,,
09/19/23 3:58:55 PM,443,,1,,,,,,
09/19/23 4:01:40 PM,444,,1,,,,,,
09/19/23 4:06:39 PM,445,,1,,,,,,
09/19/23 4:11:04 PM,446,,1,,,,,,
09/19/23 4:13:16 PM,447,,1,,,,,,
09/19/23 4:20:09 PM,448,,1,,,,,,
09/20/23 9:09:13 AM,449,End of 24 hr period,1,,,,,,
09/23/23 9:15:03 AM,450,NEW 24 hr period,1,51,10.2,10.2mm,4 hrs,"4 hours, 2 minutes and 52 seconds",2.55mm/hr
09/23/23 9:26:20 AM,451,,1,,,,,,
09/23/23 9:35:58 AM,452,,1,,,,,,
09/23/23 9:40:30 AM,453,,1,,,,,,
09/23/23 9:43:53 AM,454,,1,,,,,,
09/23/23 9:49:06 AM,455,,1,,,,,,
09/23/23 10:00:35 AM,456,,1,,,,,,
09/23/23 10:04:53 AM,457,,1,,,,,,
09/23/23 10:09:11 AM,458,,1,,,,,,
09/23/23 10:10:56 AM,459,,1,,,,,,
09/23/23 10:12:38 AM,460,,1,,,,,,
09/23/23 10:13:49 AM,461,,1,,,,,,
09/23/23 10:14:38 AM,462,,1,,,,,,
09/23/23 10:17:34 AM,463,,1,,,,,,
09/23/23 10:22:22 AM,464,,1,,,,,,
09/23/23 10:26:54 AM,465,,1,,,,,,
09/23/23 10:30:46 AM,466,,1,,,,,,
09/23/23 10:34:57 AM,467,,1,,,,,,
09/23/23 10:42:34 AM,468,,1,,,,,,
09/23/23 10:50:32 AM,469,,1,,,,,,
09/23/23 10:54:03 AM,470,,1,,,,,,
09/23/23 10:55:44 AM,471,,1,,,,,,
09/23/23 10:56:47 AM,472,,1,,,,,,
09/23/23 10:57:42 AM,473,,1,,,,,,
09/23/23 10:59:31 AM,474,,1,,,,,,
09/23/23 11:00:58 AM,475,,1,,,,,,
09/23/23 11:02:58 AM,476,,1,,,,,,
09/23/23 11:06:24 AM,477,,1,,,,,,
09/23/23 11:09:01 AM,478,,1,,,,,,
09/23/23 11:11:16 AM,479,,1,,,,,,
09/23/23 11:13:12 AM,480,,1,,,,,,
09/23/23 11:16:10 AM,481,,1,,,,,,
09/23/23 11:22:06 AM,482,,1,,,,,,
09/23/23 11:28:53 AM,483,,1,,,,,,
09/23/23 11:39:32 AM,484,,1,,,,,,
09/23/23 11:43:39 AM,485,,1,,,,,,
09/23/23 11:49:27 AM,486,,1,,,,,,
09/23/23 11:53:41 AM,487,,1,,,,,,
09/23/23 11:58:27 AM,488,,1,,,,,,
09/23/23 12:01:57 PM,489,,1,,,,,,
09/23/23 12:05:47 PM,490,,1,,,,,,
09/23/23 12:09:24 PM,491,,1,,,,,,
09/23/23 12:11:41 PM,492,,1,,,,,,
09/23/23 12:13:49 PM,493,,1,,,,,,
09/23/23 12:16:54 PM,494,,1,,,,,,
09/23/23 12:22:18 PM,495,,1,,,,,,
09/23/23 12:28:40 PM,496,,1,,,,,,
09/23/23 12:34:06 PM,497,,1,,,,,,
09/23/23 12:53:39 PM,498,,1,,,,,,
09/23/23 1:03:22 PM,499,,1,,,,,,
